乱前看不足	不足
香销梦断人无那	人
听得新蝉第一声	听得
三十余年不在家	三十
齿摇发白眼昏花	花
如今送子东归去	东
心逐征帆过白沙	白沙
赋罢仙人萼绿华	仙人
金声玉色众中夸	夸
归来世上空尘土	空
云白江清月满沙	沙
玉堂清冷夜初长	玉堂
风雨萧萧忆对床	风雨
徼道传呼钟鼓密	道
梦魂那得到君傍	君
静院幽花馥	幽花
空庭皓月明	明
春寒夜更好	夜
未有一虫鸣	未有
北固临京口	京口
夷山近海滨	海滨
江风白浪起	江风
愁杀渡头人	人
自从明府升仙后	明府
出入尘寰直至今	直
不是藏名混时候	混
卖柴沽酒贵无心	无心
花落千回舞	舞
莺声百啭歌	歌
还同异方乐	乐
不奈客愁多	客愁
五云金紫涌仙宫	涌
十八湾尖第一峰	第一
木石阴阴风飒飒	风
方池掬看小神龙	小
深院锁蛾眉	锁
黄花一两枝	黄花
晚来天气好	晚来
浑似早春时	早
断霞孤鹜欲寒天	断霞
无复青山碍目前	青山
世路崎岖饱经历	崎岖
始知平地是神仙	神仙
桃李吹成九陌麈	桃李
客中又过一年春	春
余寒漠漠城南路	城
只见秋千不见人	秋千
相逢偶值寄梅人	人
今岁江南暖未匀	江南
报与玉堂真学士	报
小诗聊当一枝春	一枝春
黄云冉冉晓苍苍	晓
闲倚平湖只自香	自香
较似寒梅虽未至	寒梅
依然风韵挟风霜	风霜
山禽调舌待舂哢	舂
江雨收声开晓晴	晓晴
偶遇故人同杖履	故人
梅花树下一诗成	梅花
的皪光明色照人	色
枝头已有十分春	春
我惊唤作菩提树	惊
为是如来幻化身	身
春深犹未试春衣	犹未
漠漠轻寒酒力微	酒
堪笑杨花太轻薄	太
淡烟细雨不教肥	细雨
马前山色连天起	山色
竹外溪声动地来	竹外
试过溪桥访山寺	溪桥
清风为我拂尘埃	清风
独立高城四望低	低
望中无物不堪题	不堪
欲知春事几深浅	春事
芳草青青犹未齐	青青
聚散空中不可期	不可
虚含五色岂多姿	五色
归来便合沈踪迹	归来
却是行人见出时	行人
寂寂书堂秋夜凉	凉
一编心画一炉香	炉香
弟兄动是经年别	动是
羞见天边有雁行	天边
漠漠沙场万里遥	万里
千夫一日起临洮	一日
若无道德为干橹	干
更是秦人筑欠高	高
西溪缚屋称幽居	称
坐对松窗与世疏	坐
到眼青山千万叠	青山
此生安乐更无知	此生
山翁何处是便宜	山翁
正是晴窗睡足时	睡足
庭户无人春寂寂	无人
入帘幽鸟语高低	语
寂寞小桥前	前
山人住何处	人
村童酤酒随	酒
策杖同归去	同归
窈窕阶除天一方	窈窕
隔帘时有芰荷香	香
老僧瀹茗供清兴	供
不负西湖五月凉	凉
离离芳草满吴宫	芳草
绿到台城旧苑东	东
一夜空江烟水冷	一夜
石头明月雁声中	明月
销尽黄金是此窝	黄金
高人欹枕看晴波	高人
钱塘门里九曲寺	门
得似先生一曲多	先生
暗香浮动月初斜	斜
彷佛西湖处士家	家
谁道广平心似铁	道
不将佳句赋梅花	梅花
两年再踏铅山路	再
今日初尝石井泉	今日
碧玉岩边论汤饼	碧玉
全胜五鼎击肥鲜	击
一去潇湘头欲白	头
今朝始见杏花春	春
从来迁客应无数	无数
重到花前有几人	重
玉垒山前风雪夜	夜
锦官城外别离魂	别离
信陵公子如相问	公子
长向夷门感旧恩	恩
粪埽堆头拾得来	得来
花前不觉笑颜开	不觉
灵山写作送行句	句
留与丛林作祸胎	留
霜菊尤宜晚	晚
才开一两葩	一两
不随蒲柳变	变
索性待梅花	梅花
君王不可见	不可
芳草旧宫春	春
犹带罗裙色	色
青青向楚人	青青
南渡年来两鬓霜	年
牡丹芍药但他乡	牡丹
即从江水浮淮水	浮
便上维扬向洛阳	洛阳
一鸟如霜雪	霜雪
飞向白楼前	飞
问君何以至	何以
天子太平年	年
武帝祈灵太乙坛	坛
新丰树色绕千官	绕
那知今夜长生殿	今夜
独闭山门月影寒	寒
云雪离披山万里	山
别来曾住最高峰	峰
暂到人间归不得	人间
长安陌上又相逢	相逢
扁舟东下几时还	扁舟
一席飞帆插羽翰	插羽
回首严陵台上月	月
清风千古逼人寒	寒
十载浮云几变更	浮云
归来钟阜碧嶙峋	归来
早知山色无今古	山色
只与青山作主人	青山
春来搜索句还成	成
把酒行吟半日酲	把酒
为是东风吹我醒	东风
海棠花外听流莺	海棠
三分光阴二早过	三分
灵台一点不揩磨	一点
贪生逐日区区去	区区
唤不回头争奈何	唤
南浦红蕖色欲然	色
北山僧枕梦无边	梦
醉乡境界无南北	南北
不用移封向酒泉	不用
何处复无暑	复
月出湖水边	月
泛舟芙蓉里	芙蓉
分明自取莲	分明
溪上千峰碧玉环	碧玉
瞰溪台榭紫云间	间
鸟啼花落非人世	非
似在金鳌山上山	山
从渠满腹贮千年	千年
遮莫挥毫动百篇	动
入到圣门无一事	一事
东西日月自行天	天
烟生杨柳一痕月	月
雨弄荷花数点秋	秋
此景此时摹不尽	此时
画船归去有渔舟	归去
拂面溪风洒洒清	清
轻衫短帽御风行	御
逍遥自是天游乐	天
不结沙鸥水石盟	沙鸥
江城风雨作朝昏	风雨
愁杀垆边卖酒人	人
只有醉时差可喜	醉时
不应醒坐过新春	坐
一瓶一钵自由身	身
聊向江南玩水云	江南
踏遍千山并万壑	千山
却归林下炷炉薰	林下
世故相逢各未闲	相逢
百年多在别离间	间
昨夜秋风今夜雨	雨
不知何处入空山	空山
片云相望浙东西	东西
回首家山路欲迷	山
昨夜桐江江上梦	梦
倒随流水上双溪	流水
檐前分得小窗明	明
便觉翛然眼界清	清
香烬一炉书满几	一炉
世间何物可关情	世间
背却残阳翠欲流	背
一窗长占四时秋	秋
逼人风露衣巾脆	风露
拄笏朝来独倚楼	朝来
千载兴亡莫浪愁	千载
汉家功业亦荒丘	汉家
空馀原上虞姬草	空
舞尽春风未肯休	春风
长信宫中草	草
年来特地长	年
无人同步辇	无人
门外度斜阳	度
杜鹃啼血满花枝	花枝
底事匆匆苦劝归	底事
归到故乡还似客	故乡
村村绿暗与红稀	村村
一点芳心足未休	一点
两般心事上眉头	眉头
杨花不逐风前舞	舞
偏趁游丝系旧愁	偏
阑干徙倚未能眠	眠
云破初开碧玉天	天
满地雪花寒不扫	寒
恨无明月对婵娟	恨
南泉水牯自天然	水
随分些些任变迁	些
长啸一声天地窄	一声
了无佛法与人传	佛法
金殿当头紫阁重	重
仙人掌上玉芙蓉	玉
太平天子朝元日	日
五色云车驾六龙	五色
扁舟乘兴山阴道	道
春半园林雪未消	园林
便解貂裘从我在	貂裘
小窗幽寂共箪瓢	小窗
二老不忍别	不忍
相期尚百年	尚
正当爱日时	爱日
剩种北堂萱	萱
莫道春风好	春风
春风易白头	春风
君看花里鸟	鸟
亦有世间愁	愁
晓来瑞气郁葱葱	晓来
流出恩波自九重	九重
地厚天高何以报	报
饱看南岳祝融峰	峰
打破当年山鬼窟	当年
豁开正眼耀乾坤	眼
三拳肋下无多子	三拳
一喝雷轰迸海门	海门
蜀地春争一月天	天
杂花新岁已争妍	新岁
却愁取次都开尽	取次
辜负清明谷雨天	清明
衡门寂寂逢迎少	少
不见仙郎向五旬	仙郎
莫问龙山前日事	龙山
菊花开却为闲人	菊花
先生风节昔人似	先生
白发箪瓢犹嗜书	犹
家有校书诗百首	诗
可能乞我助三余	乞
一我一人装一担	一人
不知出入向胞胎	出入
铁围山岳高如许	高
撞破髑髅归去来	髑髅
一度春来一度新	新
翠光长得照龙津	龙津
君王自爱天然态	天然
恨杀昭阳学舞人	人
小睡醒来欲二更	醒来
村深那听鼓钟声	声
舟中反覆无穷事	无穷
只道寒天不会明	明
室内孤灯只自知	自知
入流须辨截流机	须
辽天一镞三关外	关外
玉兔金乌不敢飞	飞
南北东西似客身	身
远峰高鸟自为邻	邻
清歌一曲犹能住	住
莫道无心胜得人	人
夜饮宁辞醉	醉
春酲莫厌投	春
有人重载酒	重
后会不须谋	不须
春有百花秋有月	月
夏有凉风冬有雪	雪
若无闲事在心头	闲事
便是人间好时节	人间
两年谪宦在江西	两年
举目云山要自迷	云山
今日始知风土异	今日
浔阳南去鹧鸪啼	啼
路入疏梅密竹间	密
俯看水墨画湖山	画
玉妃妒我清游好	妒
剪水飞花作苦寒	飞花
屋里贩扬州	扬州
水深山更幽	山
终年无客到	终年
明月自相投	明月
一道甘泉接御沟	接
上皇行处不曾秋	秋
谁言水是无情物	言
也到宫前咽不流	不流
涓涓万古意	万
湛湛一尘无	湛湛
明月来窥镜	明月
宵寒露滴珠	珠
惊尘拂面三千里	三千里
走马东西不识春	春
忽见长堤新柳色	新
一时聊慰倦行人	行人
山空年岁晚	年
老气寒峥嵘	寒
耿耿霜月夜	霜
相看直到明	明
新年试笔欲题诗	题诗
老去才衰得句迟	迟
春事未容桃李觉	桃李
梅花开到北边枝	梅花
灯下看花已可人	看花
此花那更有精神	精神
不辞今日樽前醉	今日
只恐红妆不是真	只恐
金衣何璀璀	金衣
飞向垂杨树	飞
久立欲无声	无声
东风吹不去	东风
稚子如何济急流	稚子
一篙才错便难收	错
当初把作寻常看	寻常
岂料中流解覆舟	解
为云为雨话头长	话头
十二峰前事渺茫	十二
尽道翠眉愁未展	愁
不应犹忆楚襄王	犹忆
数椽庳屋茨生草	数
三亩荒园种晚蔬	种
永日终无一杯酒	杯酒
可能留得故人车	留
两山夹岸走苍龙	走
未放中间过玉虹	未放
只爱当头一峰好	一峰
一峰外面更三峰	三峰
下床着新衣	下床
初学小姑拜	拜
低头羞见人	人
双手结裙带	结
雨余木叶绿成阴	阴
一日身闲直万金	一日
习气自嫌除未尽	未尽
鸟啼花落尚关心	尚
江南江北荻花生	江南
妾处君边第一声	妾
何似春风湖上宅	春风
银筝玉柱白头情	白头
老去何辞嫌我真	嫌
疏帘元不隔红尘	元
春山染出还如笑	笑
莫为栖栖也笑人	人
渌水明秋月	水
南湖采白蘋	南湖
荷花娇欲语	荷花
愁杀荡舟人	人
广陵杨花辞故枝	杨花
各自空条雨后垂	垂
羌笛不知春自去	春
分明一曲月中吹	吹
自有此山扃	自有
疑与浮世隔	隔
清风袭我裳	清风
竹下有来客	竹下
柳絮春泥玉垒封	封
珠帘深锁暮烟浓	浓
分明记得双栖处	分明
梦绕青楼十二重	重
平湖八百里多奇	八百
君曾纵赏无余遗	曾
不知风月谁为主	风月
夷犹未必如当时	犹
雨中渔艇一声歌	一声
夹岸青林照碧波	碧波
跃马更谁思往事	思
红尘千丈奈人何	红尘
青莲两两照山开	青莲
道是金仙手自栽	道
人与金牛俱不见	人
更从何处觅心来	觅
一节复一节	复
千枝攒万叶	攒
我自不开花	开花
免撩蜂与蝶	蝶
开遍南枝又北枝	南枝
春风于我似相知	春风
酒边漫说罗浮梦	梦
忘却瑶台月下时	月下
花时归客怕花残	花残
烽火漫漫道路难	难
断送东风多少恨	东风
凭谁留寄一枝看	寄
西亭不觉又春风	春风
弱柳微波四面中	四面
更欲烦君亭下看	亭
海棠枝上浅深红	海棠
为我冲寒特地来	特地
扁舟兴尽又须回	须
相思若要问消息	问
早寄一枝墙角梅	寄
天竺黄卷在	黄卷
人中白发侵	白发
客至独扫榻	扫榻
自然同此心	此心
镫宵处处是春台	宵
尽夜还家亦快哉	还家
说与诸儿此行好	此行
满襟带得义风回	义
柁边潮水落还生	落
篷底寒灯灭复明	灭
约束长年牢系缆	长年
报人风雨有鼍鸣	人
大唐国里无禅师	大唐
独弄单提见也无	单提
茫茫宇宙人无数	人
几个男儿是丈夫	丈夫
社前社后雨纷纷	雨
山北山南处处闻	闻
田父不知墙壁字	字
此声便是劝农文	便是
月出潮生江倒流	月
别离无奈又逢秋	秋
吴江枫叶红千树	红
一夜随风满客舟	一夜
软红尘里度韶华	度
杨柳桥边旧酒家	旧
燕子不归春渐老	燕子
东风开尽刺桐花	花
花房小如许	小
铜剪黄金涂	黄金
中有万斛香	香
与君细细输	君
繁弦奏渌水	水
长袖转回鸾	鸾
一双俱应节	俱
还似镜中看	还似
白发宫娃不解愁	白发
满头犹自插花枝	插
曾缘玉儿君王灶	灶
准拟人看似旧时	人
多病全然懒	懒
微凉尚未寒	寒
偶然无一事	偶然
蛛网雨中看	雨中
春来无处不春风	春风
偏在湖桥柳色中	偏
看得浅黄成嫩绿	成
始知造物有全功	始知
压架荼醾百万枝	枝
月边花下更涟漪	月
三更比屋皆高枕	三更
如此清凉弃不知	清凉
世路风波不见君	君
一回见面一伤神	一回
水流花落知何处	花落
洞口桃源别是春	春
闻道瞿塘滟滪堆	堆
青山流水近阳台	青山
知君此去无还日	日
妾亦随波不复回	随波
燕山二月已春酣	二月
官柳霏烟水映蓝	烟
屋角疏花红自好	红
相看终不是江南	江南
三十六峰真绝奇	绝奇
一溪九曲碧涟漪	碧
白云遮眼不知处	白云
谁道神仙在武夷	道
自古悬崖深蔽日	深
此心圆镜本无尘	此心
会知明暗非关石	石
便是岩中得道人	道人
扁舟一叶破涟漪	破
九曲穷时山更奇	山
唤取谪仙来著句	谪仙
平章佳处要清诗	佳处
玄都千树欲无枝	千树
全得春风烂漫吹	春风
晓露未晞红郁郁	红
仙源长在日迟迟	日
月下九九仙	仙
云间七七泉	泉
唤起吹箫子	子
跨鹤飞上天	飞
庭院轻寒新雨过	轻寒
江城寒食野花飞	飞
故园北望一千里	千里
极目江枫客未归	客
旧日书堂倚翠屏	倚
只今栋宇尚高明	尚
门前恍若闻弦诵	闻
虢虢绕墙流水声	流水声
踏雪归来水路长	水
亲曾相见白云乡	曾
风来风去都无那	风来
分付行人一点香	香
宝林双树影婆娑	影婆娑
普照花间系玉珂	花间
如此春光独憔悴	春光
可怜只是恨人多	人
夕阳在山月已白	月
人生几何春复秋	人生
华裛叠鼓岂无谓	华
莫怪西园清夜游	清
春山叠乱青	春山
春水漾虚碧	春水
寥寥天地间	间
满眼皆相识	满眼
拶到悬崖撒手时	悬崖
七斤衫重有谁知	重
寒来暑往浑无用	浑
挂在赵州东院西	西
玉佩翻然下帝傍	傍
墨池照影妬新妆	照影
时人莫作飘零看	人
收拾毫端无尽香	香
海潮声里越谿头	头
谁种千株夹乱流	夹
安得辞荣同范蠡	安
绿丝和雨击扁舟	扁舟
琼楼玉宇千娉婷	琼楼
中有臞仙淡眉宇	仙
问我西湖旧风月	问
何似东华软尘土	尘土
延陵乃有能诗鉴	鉴
子路犹为少读书	少
习气未忘番简册	忘
白头稽古不应愚	白头
红芳开绣户	绣户
碧草衬斜阳	斜阳
楼上频回首	回首
思君道路长	道路
烟树尽归秋色里	秋色
人家常在水声中	水声
数行旅雁斜飞去	斜
一簇楼台峭倚空	楼台
匹马骄嘶石路斜	斜
观音洞口踏烟霞	踏
普陀风景差相似	风景
只欠潮音小白花	小
只道还家犹未还	犹未
故山书册蠹鱼残	残
半生不疗饥寒苦	半生
空有诗名满世间	世间
磐陀石上共安居	石上
水远山高一事无	山高
唯有多情峰顶月	月
夜深移影到阶除	夜深
春风漠漠野人居	春风
若使能诗我不如	使
数株苍桧遮官道	遮
一树桃花映草庐	桃花
夜静河汉高	高
独坐庭前月	月
忽起故园思	思
动作经年别	经年别
呼儿取酒敌春寒	春寒
病起驼裘剩觉宽	宽
万事不妨高枕卧	卧
始知老子耐悲欢	耐
岭上青松手自栽	栽
已能苍翠映莓苔	映
岁寒本是君家事	君
好送清风月下来	送
万卉春风度	春
繁花夏景长	夏
馆娃人尽醉	馆娃
西子始新妆	始
商山五百五十日	日
若比昔贤非滞留	非
试看江陵元相国	元
四年移得向通州	四年
道人不出山	道人
偃卧一茅屋	茅屋
独有南山云	云
时到檐前宿	宿
蜡屐发兴屡	蜡屐
几为春泥阻	春泥
此行不作难	难
霁色随步武	霁色
卷尽轻云月更明	月
金篦不用且闲行	不用
若倾家酿招来客	客
何必池塘春草生	生
日日霜晴客路乾	日日
征人欢喜不辞寒	寒
素娥青女相怜甚	甚
将毋归来道路难	难
寒云将远空	寒云
叶落与飞鸿	飞鸿
汉苑秦陵外	外
凄凉是此中	凄凉
过尽长淮未见山	山
倦寻残梦独凭栏	寻
风烟渐欲回春眼	眼
不似蒋陵江上看	江上
达磨不曾来东土	达磨
二祖亦不往西天	西天
一条古路生荆棘	生
更无佛法可流传	流传
白石冈头草木深	深
春风相与散衣襟	春风
浮云映郭留佳气	留
飞鸟随人作好音	飞鸟
生公说法鬼神听	鬼神
身后空堂夜不扃	夜
高坐寂寥尘漠漠	尘
一方明月可中庭	明月
学诗浑似学参禅	学
竹榻蒲团不计年	蒲团
直待自家都了得	直待
等閒拈出便超然	閒
准拟归时到未迟	迟
归时不到悔来时	归时
惠山不识空归去	空
枉与常州作住持	枉
一灯话尽古今长	话
竹雨幽窗夜未央	幽窗
多少闲情多少趣	趣
平分消受五更凉	凉
山遥海阔古兰若	古
月白风清老比丘	风清
万象森罗总宾客	总
相逢莫不小低头	小
戴星先捧祝尧觞	先
镜里堪惊两鬓霜	鬓霜
好是灯前偷失笑	灯前
屠苏应不得先尝	屠苏
我有敌国雠	敌国
无人可为雪	无人
每至秦陇头	秦
游魂自呜咽	呜咽
野老柴门日日开	日日
且无栏槛碍飞回	碍
劝君莫入珠帘去	珠帘
羯鼓如雷打出来	羯鼓
桂林多洞府	洞府
疑是馆群仙	群仙
四野皆平地	四野
千峰直上天	天
眼前石屋著书象	眼前
三世十方齐现身	十方
各搦著书一枝笔	一枝
各有洞天石屋春	春
更好轩中几报春	报春
幽人去后化为薪	幽人
向来花在孙枝上	花
一笑相看似故人	故人
山禽原不解春愁	解
谁道东风雪满头	道
迟日满栏花欲睡	睡
双双细语未曾休	休
黄尘投老倦匆匆	倦
故绕盆池种水红	种
落日欹眠何所忆	眠
江湖秋梦橹声中	江湖
浮香绕曲岸	绕
圆影覆华池	华池
常恐秋风早	秋风
飘零君不知	君
羊肠路险百千转	转
云梦胸吞八九宽	宽
豆饭芋羹才足欲	足
水边林下即心安	水边
极目云天意已舒	极目
迎人草树绿扶疏	绿
望中孤塔松江近	望中
便有小船来卖鱼	鱼
风淡帘栊花弄影	花
雨余池馆燕争泥	泥
春光去就轻如叶	春光
一任声声杜宇啼	啼
寒无毡坐甑生尘	坐
此老年来乃尔贫	年
两颊如丹君会否	如丹
胸中原自有阳春	胸中
秋空一剑岳阳楼	秋空
醉里乾坤日夜浮	日
五百年间兴废事	五百
不知谁是赤松游	游
今年春色可胜嗟	春色
二月山中未见花	山中
长忆去年今夜月	月
海棠花影到窗纱	海棠
傲雪含芳破五花	破
水村山郭傍诗家	傍
本为金鼎调羹物	物
寥落山林老岁华	山林
万籁沉沉清夜阑	清
楼前独自倚栏干	干
金鸡叫罢松风动	罢
三十六天秋月寒	寒
年华浮动酒中心	酒
笑向吾前满满斟	笑
犹喜家贫诗礼在	诗礼
一杯真率胜山阴	胜
一句截流心路绝	心
千差万别豁然通	通
等闲更进竿头步	步
莫问西来及与东	西
酿成佳醴异香清	清
太白觞飞醉月倾	飞
却笑江陵千树橘	笑
封侯空自博虚名	封侯
姑苏台上姑苏馆	台上
共说南山竹火炉	竹
湖上相逢又相别	相逢
不知何处说姑苏	姑苏
心外何曾别有天	何曾
吾心和处即昭然	心
昭然莫向穹苍觅	觅
帝所清都在目前	目前
闻说淮南第一山	山
老来方此凭栏干	干
孤城不隔长安望	长安
落日空悲汴水寒	落日
浩浩春风泛碧梧	春风
娟娟秋水照芙蕖	秋水
大师佛法无多子	佛法
居士身心本一如	身心
家住吴王旧苑东	东
屋头山水胜屏风	胜
